Plot_Min_Witdh,Plot_Count,Build_Min_Depth,Build_Max_Depth,Build_Min_Heigth,Build_Max_Heigth,Building_Volume,Building_Area,Green_Area,Average_FAR,Average_Build_Heigth,Gross_area,Radiation_Min,Radiation_Total,Green_Comfort,Energy_Balance
28.1190604667,12,19.5012624666,93.3141391867,36.8761548166,81.4958749962,1133740.26,19360.4465715938,1950.4869449885,52.151037902,56.4329633417,1133740.26,3.25,8864.75,0.2020,-7309154.50
27.507534508,12,19.3169150586,90.8166831046,35.7157299406,78.3978835748,978948.65,18538.8100770606,2772.1234395217,48.0654084008,54.3759539936,978948.65,6.75,8675.75,0.2030,-5366650.86
27.021214074,12,19.1580062761,88.6350135615,34.706897545,75.7634203897,893421.23,17629.6685848341,3681.2649317482,44.9471226423,52.6564115663,893421.23,6.5,8303.5,0.1899,-4529799.81
26.6214721787,12,19.0171719386,86.6464828141,33.7932138354,73.4791167919,893308.47,17783.4292284932,3527.5042880891,46.3825269303,51.1435061205,893308.47,6.75,8353.75,0.1345,-4448560.29
26.2875035515,12,18.8895012178,84.8524423355,32.9730428973,71.4529822077,957762.30,19971.9907356118,1338.9427809705,47.428984438,49.7960995601,957762.30,2.5,9392,0.1105,-4300860.00
26.0023839556,12,18.7721394994,83.1987249821,32.2212808718,69.6345685503,768577.57,15788.6376637178,5522.2958528645,40.251339774,48.5780077751,768577.57,7.25,7325.25,0.2023,-3574750.24
25.754402712,12,18.6625627512,81.6610684549,31.5264565656,67.9852471592,833520.27,18111.3991678082,3199.534348774,42.2036908117,47.4658865908,833520.27,7.25,8599,0.1761,-3363600.67
25.5338882951,12,18.5604042933,80.1354951273,30.8434095676,66.5142382141,793769.13,17910.4647461584,3400.4687704238,39.4089070926,46.4383502635,793769.13,7,8533,0.1821,-2860355.08
25.3390038997,12,18.4626863338,78.7779366871,30.2360910338,65.1345175998,890460.43,18921.7223869698,2389.2111296125,40.9507772401,45.4546302477,890460.43,6.5,9189.75,0.2670,-3815629.11
25.1654767228,12,18.3693383513,77.4988340655,29.6680121947,63.860374581,848608.50,19111.701363364,2199.2321532183,40.3034071196,44.5786502663,848608.50,4.5,9088,0.1151,-3076074.01
25.0090937291,12,18.2824975697,76.2917124152,29.1359232721,62.679143883,875666.44,19499.303934573,1811.6295820092,40.0194088646,43.7634829777,875666.44,2.75,9284.5,0.2419,-3289770.84
24.8642889131,12,18.1981867122,75.1467140869,28.6306472178,61.5800900072,804150.48,17890.1297561795,3420.8037604027,36.803261845,42.9992717235,804150.48,6.5,8801.75,0.2454,-3030016.73
24.7318211793,12,18.1172505822,74.0645588225,28.1597215767,60.5606703368,819849.73,18896.3897185287,2414.5437980536,38.3282285435,42.2891582819,819849.73,0,9135,0.1791,-2747051.57
24.611649828,12,18.0394721326,73.0370711785,27.7092702441,59.6071310774,805187.70,19015.2290722625,2295.7044443198,37.5820124693,41.6193198852,805187.70,0,9142.5,0.1813,-2462065.25
24.4963741191,12,17.9649026563,72.0660680062,27.2893851063,58.7166422343,770021.71,18223.6754976764,3087.2580189058,34.0344192437,40.9942134339,770021.71,6.5,8936.5,0.2380,-2333846.62
24.3903923696,12,17.8952415162,71.1401434131,26.8925787181,57.8818856778,723863.19,17745.6326538103,3565.300862772,33.803049353,40.4064253176,723863.19,6.5,8467.5,0.2984,-1876334.03
24.2947624318,12,17.8305422683,70.2676594831,26.5167765527,57.098375564,838647.96,20140.4395026724,1170.4940139099,38.5333648594,39.8528294804,838647.96,0,9755.5,0.0672,-2389776.16
24.2011890786,12,17.7629271197,69.437353114,26.1606854601,56.3774464559,597100.85,15497.2170680871,5813.7164484951,30.1122523839,39.3376394773,597100.85,5.5,7207,0.2761,-1101872.67
24.1071412974,12,17.6954531038,68.6465964351,25.8220220901,55.6907755593,676039.73,16729.4527534979,4581.4807630843,31.6291784414,38.8472166525,676039.73,5.25,8092,0.2290,-1670251.69
24.0281555377,12,17.6303304601,67.8952240437,25.501969775,55.0579843711,760913.22,18895.7324847548,2415.2010318274,34.6685256485,38.3907848707,760913.22,4.25,9161,0.1386,-1846222.28
23.953053712,12,17.5834323585,67.1944797574,25.2019223826,54.4508955659,773302.11,19702.6112330884,1608.3222834938,35.3800237459,37.9568425655,773302.11,7,9626,0.2561,-1617656.34
23.5340430478,12,18.8976310745,87.0689165381,33.4272403619,69.6878630389,957951.65,20230.2576547017,1080.6758618805,46.0470047302,49.2800332939,957951.65,7.25,9609.75,0.1907,-4170034.43
23.5548863943,12,18.9243423008,87.0385137631,33.4691808896,70.0485890767,953905.86,19950.4972172241,1360.4362993581,46.5154016983,49.4613437581,953905.86,6,9434.25,0.2035,-4252332.24
23.5461975171,12,18.9250956135,86.6710099597,33.3722532032,70.1267856443,856814.70,18064.5013857262,3246.4321308561,43.0765628057,49.4409786989,856814.70,6.75,8627,0.1814,-3744402.48
23.5550675826,12,18.9404035179,86.6338314421,33.4167341787,70.460976523,941541.08,19559.1629252516,1751.7705913307,47.1674193557,49.6121180373,941541.08,7,9102,0.1410,-4265479.94
23.5592405741,12,18.9524394069,86.5744871064,33.4544463914,70.7795743582,943854.46,19617.0204576214,1693.9130589609,46.0678165906,49.7726307228,943854.46,6.75,9413.25,0.2365,-4272206.59
23.5650215728,12,18.9599476931,86.4702629133,33.4710271827,71.0780675666,936968.92,19839.3152904691,1471.6182261131,44.6139264538,49.9124608917,936968.92,6.75,9547.25,0.2968,-4051398.95
